scientificName
Polyplectron schleiermacheri
Pyrrhula murina
Crypturellus kerriae
Penelope perspicax
Penelope ochrogaster
Oreophasis derbianus
Pauxi pauxi
Crax globulosa
Crax blumenbachii
Aepypodius bruijnii
Megapodius nicobariensis
Megapodius layardi
Pternistis camerunensis
Pternistis swierstrai
Arborophila mandellii
Arborophila rufipectus
Arborophila ardens
Tragopan caboti
Lophophorus sclateri
Lophophorus lhuysii
Lophura bulweri
Crossoptilon mantchuricum
Polyplectron inopinatum
Afropavo congensis
Dendrortyx barbatus
Hymenolaimus malacorhynchos
Anas bernieri
Anas aucklandica
Turnix olivii
Colaptes fernandinae
Celeus galeatus
Campephilus imperialis
Capito hypoleucus
Galbula pastazae
Penelopides mindorensis
Penelopides panini
Apalharpactes reinwardtii
Electron carinatum
Todiramphus ruficollaris
Actenoides hombroni
Tanysiptera ellioti
Phaenicophaeus pyrrhocephalus
Centropus nigrorufus
Centropus chlororhynchos
Coccyzus ferrugineus
Neomorphus radiolosus
Lorius domicella
Vini stepheni
Charmosyna palmarum
Ara ambiguus
Psittacara euops
Psittacara chloropterus
Ognorhynchus icterotis
Pyrrhura cruentata
Bolborhynchus ferrugineifrons
Forpus xanthops
Touit melanonotus
Touit surdus
Touit stictopterus
Hapalopsittaca amazonina
Hapalopsittaca pyrrhops
Amazona versicolor
Amazona arausiaca
Amazona guildingii
Aerodramus sawtelli
Glaucis dohrnii
Amazilia luciae
Aglaeactis aliciae
Coeligena prunellei
Eriocnemis nigrivestis
Eriocnemis godini
Metallura baroni
Taphrolesbia griseiventris
Loddigesia mirabilis
Chaetocercus bombus
Chaetocercus berlepschi
Selasphorus ardens
Tyto inexspectata
Otus angelinae
Otus insularis
Bubo philippensis
Bubo blakistoni
Scotopelia ussheri
Glaucidium albertinum
Ninox natalis
Nesasio solomonensis
Siphonorhis americana
Antrostomus noctitherus
Columba torringtoniae
Patagioenas oenops
Leptotila ochraceiventris
Zentrygon carrikeri
Starnoenas cyanocephala
Gallicolumba crinigera
Gallicolumba menagei
Alopecoenas kubaryi
Alopecoenas stairi
Phapitreron cinereiceps
Treron floris
Treron psittaceus
Ramphiculus marchei
Ptilinopus rarotongensis
Ptilinopus chalcurus
Ptilinopus arcanus
Ducula mindorensis
Ducula galeata
Ducula brenchleyi
Ducula bakeri
Heliopais personatus
Sarothrura watersi
Laterallus tuerosi
Laterallus xenopterus
Gallirallus lafresnayanus
Hypotaenidia sylvestris
Hypotaenidia okinawae
Rallus wetmorei
Rallus semiplumbeus
Rallus antarcticus
Rallus madagascariensis
Aramidopsis plateni
Aramides wolfi
Zapornia olivieri
Porzana spiloptera
Habroptila wallacii
Porphyrio hochstetteri
Tringa guttifer
Charadrius thoracicus
Charadrius sanctaehelenae
Thinornis novaeseelandiae
Haliaeetus sanfordi
Eutriorchis astur
