scientificName,PopulationSize.range
Setophaga angelae,1800
Xenoligea montana,1500-7000
Bangsia aureocincta,600-1700
Sterna aurantia,20000-70000
Melanospiza richardsoni,250-999
Setophaga subita,600-1700
Ammospiza caudacuta,37000-69000
Aquila nipalensis,50000-75000
Agelaius xanthomus,250-999
Acrocephalus vaughani,250-2000
Agelaius tricolor,NA
Calcarius ornatus,3100000
Amazona agilis,6000-15000
Xenoglaux loweryi,250-999
Cochoa azurea,2500-9999
Catharus bicknelli,80000
Selasphorus ardens,2000-12000
Aerodramus sawtelli,340-400
Columba punicea,2500-9999
Icterus laudabilis,1000-2499
Setophaga chrysoparia,U
Clibanornis rufipectus,9300-13100
Campylopterus phainopeplus,1-49
Gymnogyps californianus,93
Ognorhynchus icterotis,1000
Chondrohierax wilsonii,50-249
Grus americana,50-249
Vultur gryphus,6700
Sitta insularis,1-49
Bubo scandiacus,28000
Amazona lilacina,1000-2499
Eulidia yarrellii,210
Laterallus spilonota,3300-6700
Pyrrhura orcesi,250-999
Atlapetes pallidiceps,160-226
Ardea occidentalis,1000-2499
Chaetura andrei,2500-9999
Buteo ridgwayi,322
Tanygnathus everetti,250-999
Eupsittula canicularis,500000-4999999
Eriocnemis godini,1-49
Gracula robusta,160-265
Ocyceros griseus,U
Alophoixus bres,U
Phoenicoparrus andinus,NA
Geospiza acutirostris,250-999
Geospiza conirostris,250-999
Geospiza propinqua,250-999
Rhyticeros narcondami,300-650
Campephilus principalis,1-49
Progne modesta,250-999
Megadyptes antipodes,2600-3000
Spheniscus humboldti,23800
Spheniscus mendiculus,1200
Mimus macdonaldi,600-1700
Eudyptes chrysocome,2500000
Nisaetus nanus,2500-9999
Argusianus argus,NA
Larus audouinii,NA
Melanitta fusca,141000-268000
Rhyticeros everetti,1000-2000
Lophura ignita,U
Rhinoplax vigil,NA
Lophura rufa,U
Buceros hydrocorax,U
Buceros mindanensis,U
Buceros bicornis,13000-27000
Penelopides mindorensis,250-999
Penelopides panini,1200
Eudyptes moseleyi,413700
Eudyptes chrysolophus,NA
Buceros rhinoceros,U
Ducula oceanica,"2500 - 12200, 8000"
Lithognathus lithognathus,NA
Anhydrophryne rattrayi,NA
Calocedrus rupestris,NA
Ctenophryne barbatula,NA
Anodonthyla moramora,NA
Telmatobius punctatus,NA
Oreobates lehri,NA
Plecotus sardus,NA
Uromys boeadii,NA
Nyctalus azoreum,11-5000
Turbinicarpus subterraneus,NA
Eriosyce esmeraldana,NA
Coleocephalocereus braunii,999
Mammillaria melaleuca,NA
Corryocactus tarijensis,NA
Parodia stockingeri,500
Ferocactus flavovirens,NA
Copiapoa cinerascens,NA
Melocactus andinus,NA
Parodia nigrispina,NA
Eriosyce crispa,NA
Matucana aureiflora,NA
Leptocereus arboreus,NA
Cleistocactus winteri,NA
Echinocereus barthelowanus,NA
Copiapoa serpentisulcata,NA
Peniocereus occidentalis,8
Coleocephalocereus diersianus,NA
Gymnocalycium oenanthemum,NA
Echinopsis pampana,NA
Eriosyce calderana,2400
Rebutia krugerae,NA
Peniocereus maculatus,49
Brasilicereus phaeacanthus,NA
Rebutia glomeriseta,NA
Ferocactus chrysacanthus,NA
Disocactus macdougallii,NA
Cleistocactus sulcifer,NA
Consolea spinosissima,270
Parodia muricata,NA
Disocactus eichlamii,NA
Mammillaria schumannii,NA
Pediocactus paradinei,NA
Eriosyce chilensis,NA
Pereskia quisqueyana,NA
Coleocephalocereus goebelianus,NA
Discocactus ferricola,NA
Parodia rechensis,70
Schlumbergera orssichiana,NA
Yavia cryptocarpa,NA
Rebutia albipectinata,NA
Hylocereus escuintlensis,NA
Pfeiffera micrantha,NA
Copiapoa esmeraldana,500
Cleistocactus hoffmannii,NA
Copiapoa taltalensis,NA
Gymnocalycium amerhauseri,249
Parodia nothorauschii,NA
Weberocereus trichophorus,NA
Hatiora herminiae,NA
Eriosyce laui,249
Copiapoa hypogaea,NA
Mammillaria crucigera,NA
Leptocereus grantianus,50
Eriosyce umadeave,NA
Parodia werdermanniana,NA
Peniocereus lazaro-cardenasii,2000
Parodia hausteiniana,100
Copiapoa fiedleriana,NA
Mammillaria coahuilensis,NA
Parodia allosiphon,NA
Cleistocactus longiserpens,NA
Frailea fulviseta,NA
Peniocereus zopilotensis,49
Gymnocalycium denudatum,NA
Pilosocereus quadricentralis,50-249
Leptocereus leonii,NA
Melocactus matanzanus,200
Echinopsis oligotricha,NA
Weberocereus imitans,NA
Pseudorhipsalis alata,NA
Melocactus braunii,NA
Parodia warasii,NA
Echinocereus chisosensis,999
Discocactus diersianus,5000
Copiapoa grandiflora,NA
Eriosyce simulans,NA
Pachycereus gaumeri,NA
Mammillaria carmenae,NA
Parodia nivosa,NA
Dendrocereus nudiflorus,NA
Echinopsis hertrichiana,NA
Matucana ritteri,NA
Pygmaeocereus bieblii,NA
Hatiora epiphylloides,NA
Gymnocalycium horstii,NA
Pilosocereus diersianus,NA
Haageocereus pacalaensis,NA
Oroya peruviana,NA
Rhipsalis pentaptera,NA
Echinopsis angelesiae,NA
Myrtillocactus eichlamii,200-300
Matucana madisoniorum,NA
Rhipsalis dissimilis,NA
Hylocereus calcaratus,NA
Cylindropuntia hystrix,NA
Corynopuntia reflexispina,NA
Leptocereus wrightii,NA
Parodia leninghausii,NA
Rhipsalis mesembryanthemoides,NA
Parodia horstii,2300
Corryocactus brachypetalus,NA
Echinopsis bolligeriana,NA
Mammillaria surculosa,NA
Sclerocactus nyensis,NA
Echinopsis coquimbana,NA
Disocactus biformis,NA
Eriosyce occulta,999
Gymnocalycium ragonesei,NA
Pygmaeocereus bylesianus,NA
Parodia herteri,NA
Matucana weberbaueri,NA
Mammillaria parkinsonii,NA
Echinocereus nivosus,NA
Weberocereus frohningiorum,49
Maihueniopsis minuta,NA
Mammillaria theresae,200
Echinocereus sciurus,NA
Melocactus stramineus,NA
Cleistocactus jajoanus,NA
Gymnocalycium neuhuberi,NA
Eriosyce iquiquensis,NA
Echinocereus leucanthus,NA
Mammillaria capensis,NA
Weberbauerocereus cephalomacrostibas,900
Echinopsis walteri,NA
Stenocereus chacalapensis,30-49
Cereus saddianus,NA
Peniocereus macdougallii,250-999
Melocactus brederooianus,NA
Mammillaria peninsularis,NA
Frailea mammifera,NA
Hatiora cylindrica,NA
Parodia tenuicylindrica,NA
Matucana huagalensis,NA
Escobaria cubensis,NA
Stenocereus martinezii,NA
Parodia rudibuenekeri,NA
Epiphyllum lepidocarpum,NA
Parodia mueller-melchersii,NA
Echinopsis caulescens,NA
Mammillaria pectinifera,NA
Leptocereus scopulophilus,NA
Parodia arnostiana,NA
Parodia neohorstii,NA
Coryphantha potosiana,2000
Corynopuntia bulbispina,NA
Parodia penicillata,2400
Parodia magnifica,NA
Astrophytum caput-medusae,NA
Echinocereus schmollii,200-250
Copiapoa solaris,NA
Cleistocactus xylorhizus,240
Schlumbergera russelliana,NA
Selenicereus atropilosus,1100
Arrojadoa marylaniae,4999
Eriosyce sociabilis,249
Stenocereus humilis,NA
Ferocactus haematacanthus,2400
Discocactus hartmannii,NA
Matucana tuberculata,NA
Mammillaria zublerae,2499
Mammillaria johnstonii,NA
Stenocereus chrysocarpus,NA
Coleocephalocereus pluricostatus,NA
Parodia crassigibba,NA
Eriosyce aspillagae,NA
Leptocereus carinatus,NA
Mammillaria laui,NA
Gymnocalycium albiareolatum,NA
Haageocereus tenuis,500
Pilosocereus ulei,NA
Mammillaria humboldtii,NA
Mammillaria supertexta,NA
Copiapoa decorticans,NA
Coryphantha pulleineana,NA
Frailea buenekeri,NA
Austrocactus spiniflorus,NA
Frailea curvispina,NA
Mammillaria eichlamii,NA
Parodia buiningii,NA
Copiapoa ahremephiana,NA
Corryocactus ayacuchoensis,NA
Tacinga subcylindrica,1000
Opisthoteuthis mero,NA
Opisthoteuthis massyae,NA
Cirroctopus hochbergi,1000
Boophis baetkei,NA
Palinurus elephas,NA
Cheimerius matsubarai,NA
Acanthopagrus vagus,NA
Chrysoblephus cristiceps,NA
Polysteganus praeorbitalis,NA
Acanthopagrus sivicolus,NA
Cymatoceps nasutus,NA
Polysteganus undulosus,NA
Rhabdosargus globiceps,NA
Dentex dentex,NA
Petrus rupestris,NA
Chrysoblephus gibbiceps,NA
Phocarctos hookeri,3031
Mammillaria manana,800
Rhampholeon acuminatus,NA
Kinyongia vosseleri,NA
Rhampholeon temporalis,NA
Nadzikambia mlanjensis,NA
Rhampholeon platyceps,NA
Kinyongia magomberae,NA
Kinyongia matschiei,NA
Rhampholeon beraduccii,NA
Kinyongia tenuis,NA
Kinyongia excubitor,NA
Trioceros quadricornis,NA
Trioceros pfefferi,NA
Kinyongia multituberculata,NA
Nyctibatrachus dattatreyaensis,NA
Pipistrellus maderensis,1-999
Callulina dawida,NA
Plecotus teneriffae,NA
Opisthoteuthis calypso,NA
Acanthurus chronixis,NA
Enneanectes smithi,NA
Clinus latipennis,NA
Springeratus polyporatus,NA
Sclerocactus brevispinus,1000
Siccobaccatus insigniflorus,NA
Micranthocereus hofackerianus,NA
Arrojadoa multiflora,4999
Arrojadoa albiflora,NA
Parodia gaucha,NA
Discocactus cangaensis,500-1000
Discocactus subterraneo-proliferans,NA
Rhipsalis triangularis,NA
Coleocephalocereus uebelmanniorum,NA
Scartella springeri,NA
Scartella poiti,NA
Scartella nuchifilis,NA
Raorchestes sushili,NA
Halichoeres burekae,NA
Gracixalus quyeti,NA
Raorchestes chromasynchysi,NA
Estevesia alex-bragae,200
Anodonthyla emilei,NA
Ectopoglossus confusus,NA
Limnonectes megastomias,NA
Odorrana geminata,NA
Rhaebo andinophrynoides,NA
Camellia amplexicaulis,NA
Camellia aurea,NA
Camellia crassiphylla,10
Camellia corallina,NA
Camellia cucphuongensis,20-30
Camellia dongnaiensis,NA
Camellia flava,150-250
Camellia gracilipes,NA
Camellia petelotii,NA
Camellia piquetiana,10-49
Camellia pubicosta,NA
Camellia rosmannii,NA
Camellia rubriflora,15-20
Camellia thailandica,NA
Camellia tonkinensis,NA
Magnolia nana,NA
Magnolia sirindhorniae,NA
Magnolia blaoensis,NA
Magnolia thailandica,NA
Magnolia annamensis,NA
Magnolia rufibarbata,NA
Magnolia hongheensis,NA
Magnolia shiluensis,NA
Magnolia lucida,NA
Magnolia dawsoniana,NA
Magnolia albosericea,999
Magnolia ventii,100
Magnolia rajaniana,NA
Taxus mairei,NA
Camellia cattienensis,NA
Camellia luteocerata,250-500
Camellia maiana,30
Torreya fargesii,NA
Conus lugubris,NA
Conus jeanmartini,NA
Conus decoratus,NA
Conus duffyi,NA
Conus cuneolus,NA
Conus julii,NA
Conus henckesi,NA
Conus compressus,NA
Conus hennequini,NA
Conus felitae,NA
Conus echinophilus,NA
Conus xicoi,NA
Conus mercator,NA
Conus thevenardensis,NA
Conus tacomae,NA
Conus bruguieresi,NA
Conus teodorae,NA
Conus stearnsii,NA
Conus immelmani,NA
Conus crotchii,NA
Conus belairensis,NA
Conus fontonae,NA
Conus allaryi,NA
Conus salreiensis,NA
Conus guinaicus,NA
Conus mordeirae,NA
Conus richardbinghami,NA
Conus anabathrum,NA
Conus cloveri,NA
Conus rawaiensis,NA
Conus hybridus,NA
Conus melvilli,NA
Conus ateralbus,NA
Conus unifasciatus,NA
Conus hieroglyphus,NA
Conus regonae,NA
Conus fernandesi,NA
Conus ardisiaceus,NA
Conus cuvieri,NA
Leptobrachella applebyi,NA
Callulina hanseni,NA
Callulina kanga,NA
Callulina laphami,NA
Callulina shengena,NA
Takifugu chinensis,NA
Takifugu plagiocellatus,NA
Canthigaster marquesensis,NA
Chelonodon pleurospilus,NA
Canthigaster cyanetron,NA
Arothron inconditus,NA
Canthigaster sanctaehelenae,NA
Magnolia allenii,NA
Magnolia angustioblonga,200
Magnolia arcabucoana,NA
Magnolia argyrothricha,NA
Magnolia chimantensis,49
Magnolia chocoensis,NA
Magnolia crassipes,1000
Magnolia decidua,500
Magnolia dodecapetala,NA
Magnolia domingensis,NA
Magnolia emarginata,NA
Magnolia hamorii,NA
Magnolia irwiniana,NA
Magnolia krusei,NA
Magnolia kwangsiensis,NA
Magnolia lacei,50-260
Magnolia lenticellata,NA
Magnolia longipedunculata,11
Magnolia mannii,NA
Magnolia mexicana,NA
Magnolia morii,NA
Magnolia neillii,NA
Magnolia pallescens,NA
Magnolia pealiana,NA
Magnolia pleiocarpa,NA
Magnolia portoricensis,NA
Magnolia sharpii,NA
Magnolia silvioi,NA
Magnolia splendens,NA
Magnolia striatifolia,NA
Magnolia tamaulipana,NA
Betula chichibuensis,21
Ostrya chisosensis,639
Albula glossodonta,NA
Carpinus hebestroma,NA
Ostrya trichocarpa,90
Betula megrelica,NA
Carpinus tientaiensis,21
Alnus henryi,1-49
Ostryopsis nobilis,NA
Magnolia pugana,NA
Rhincodon typus,NA
Eleutherodactylus diplasius,NA
Eleutherodactylus notidodes,NA
Eleutherodactylus sommeri,NA
Opuntia abjecta,60
Alosa aestivalis,NA
Callulina meteora,NA
Agathis borneensis,NA
Agathis dammara,NA
Trioceros perreti,NA
Trioceros serratus,NA
Tomistoma schlegelii,2500-9999
Cupressus dupreziana,NA
Widdringtonia cedarbergensis,NA
Cupressus macrocarpa,NA
Camellia crapnelliana,NA
Athrotaxis laxifolia,NA
Pherosphaera fitzgeraldii,455
Callitris oblonga,NA
Abies guatemalensis,NA
Taxus globosa,NA
Magnolia schiedeana,NA
Fitzroya cupressoides,NA
Pinus maximartinezii,NA
Acmopyle sahniana,50-99
Juniperus jaliscana,NA
Magnolia gustavii,20-250
Calocedrus formosana,NA
Cunninghamia konishii,NA
Magnolia kachirachirai,NA
Amentotaxus formosana,250-800
Picea brachytyla,NA
Picea neoveitchii,156
Picea aurantiaca,NA
Larix mastersiana,NA
Pseudotsuga japonica,2000
Cephalotaxus mannii,NA
Picea farreri,NA
Podocarpus costalis,NA
Araucaria araucana,NA
Dacrydium comosum,NA
Juniperus saxicola,53
Agathis kinabaluensis,NA
Agathis lenticula,NA
Agathis orbicula,NA
Podocarpus salignus,NA
Nothofagus glauca,NA
Pilgerodendron uviferum,NA
Athrotaxis cupressoides,NA
Athrotaxis selaginoides,NA
Abies fraseri,NA
Carpinus putoensis,1
Ostrya rehderiana,5
Cathaya argyrophylla,500-1000
Metasequoia glyptostroboides,5393
Abies beshanzuensis,3
Apterosperma oblata,250-300
Camellia euphlebia,NA
Cephalotaxus lanceolata,2499
Cephalotaxus oliveri,NA
Chamaecyparis formosensis,NA
Cupressus gigantea,5000
Chamaecyparis hodginsii,NA
Magnolia aromatica,2000-2500
Pinus wangii,NA
Thuja sutchuenensis,7000
Torreya jackii,NA
Magnolia amoena,NA
Magnolia cylindrica,NA
Magnolia rostrata,NA
Magnolia zenii,18
Magnolia grandis,0-50
Tsuga forrestii,NA
Abies fanjingshanensis,249
Camellia pubipetala,NA
Picea chihuahuana,2500-3000
Juniperus comitana,NA
Juniperus standleyi,NA
Pinus merkusii,NA
Pinus nelsonii,NA
Pinus greggii,NA
Pinus culminicola,NA
Pseudotaxus chienii,NA
Pinus krempfii,NA
Camellia fleuryi,NA
Araucaria angustifolia,NA
Picea martinezii,800
Pinus rzedowskii,1000
Sequoiadendron giganteum,NA
Torreya californica,NA
Cupressus bakeri,NA
Picea breweriana,NA
Sequoia sempervirens,NA
Alnus maritima,NA
Pinus muricata,NA
Cephalotaxus hainanensis,NA
Podocarpus fasciculus,NA
Podocarpus gibbsiae,NA
Podocarpus globulus,NA
Callitris monticola,NA
Juniperus barbadensis,NA
Podocarpus hispaniolensis,NA
Podocarpus laubenfelsii,NA
Podocarpus lophatus,NA
Podocarpus nakaii,251-2499
Podocarpus pallidus,500-999
Podocarpus pendulifolius,NA
Podocarpus purdieanus,NA
Podocarpus rostratus,NA
Podocarpus rusbyi,NA
Podocarpus sellowii,NA
Podocarpus transiens,NA
Podocarpus urbanii,NA
Prumnopitys ladei,999
Retrophyllum rospigliosii,NA
Amentotaxus assamica,NA
Juniperus gamboana,NA
Falcatifolium angustum,NA
Nageia maxima,NA
Podocarpus capuronii,NA
Picea retroflexa,NA
Picea torano,NA
Pinus amamiana,NA
Pinus occidentalis,NA
Pseudolarix amabilis,NA
Afrocarpus usambarensis,NA
Dacrydium leptophyllum,NA
Agathis macrophylla,NA
Picea morrisonicola,NA
Amentotaxus poilanei,NA
Magnolia nitida,NA
Magnolia omeiensis,100
Magnolia officinalis,NA
Magnolia lotungensis,2499
Magnolia sinica,40-50
Magnolia odora,9999
Magnolia iltisiana,NA
Pinus tecunumanii,NA
Camellia gilbertii,NA
Prumnopitys andina,10000
Magnolia yoroconte,NA
Canthigaster rapaensis,NA
Pinus squamata,18-20
Prumnopitys standleyi,NA
Magnolia calimaensis,NA
Magnolia calophylla,NA
Magnolia cararensis,NA
Magnolia colombiana,NA
Magnolia guatapensis,NA
Magnolia mahechae,NA
Magnolia urraoensis,NA
Magnolia yarumalensis,NA
Magnolia caricifragrans,NA
Magnolia cespedesii,NA
Magnolia espinalii,50
Magnolia georgii,NA
Magnolia gilbertoi,NA
Magnolia hernandezii,NA
Magnolia henaoi,NA
Magnolia katiorum,NA
Magnolia narinensis,NA
Magnolia polyhypsophylla,12
Magnolia santanderiana,NA
Magnolia virolinensis,NA
Magnolia wolfii,3
Magnolia minor,NA
Magnolia ovoidea,49
Magnolia coriacea,300-500
Magnolia xanthantha,NA
Magnolia boliviana,NA
Pinus albicaulis,NA
Pinus palustris,NA
Podocarpus matudae,NA
Podocarpus costaricensis,NA
Podocarpus humbertii,NA
Coryphantha maiz-tablasensis,NA
Coryphantha pycnacantha,1000
Tephrocactus bonnieae,NA
Mammillaria albiflora,5000
Mammillaria anniana,500
Mammillaria aureilanata,NA
Mammillaria duwei,500
Mammillaria gasseriana,2499
Mammillaria glochidiata,NA
Mammillaria herrerae,NA
Mammillaria marcosii,150
Mammillaria mathildae,493
Mammillaria microhelia,499
Mammillaria pennispinosa,1250
Mammillaria rettigiana,NA
Mammillaria sanchez-mejoradae,500
Mammillaria zeilmanniana,249
Pereskia aureiflora,NA
Tacinga estevesii,NA
Rhipsalis crispata,NA
Rhipsalis pacheco-leonis,NA
Schlumbergera kautskyi,NA
Cereus mirabella,NA
Cipocereus laniflorus,249
Cipocereus crassisepalus,NA
Cipocereus pusilliflorus,49
Arrojadoa eriocaulis,5000
Pilosocereus azulensis,NA
Pilosocereus magnificus,NA
Pilosocereus multicostatus,NA
Micranthocereus violaciflorus,NA
Micranthocereus auriazureus,NA
Micranthocereus streckeri,250-1000
Micranthocereus polyanthus,1000-2400
Coleocephalocereus purpureus,NA
Melocactus conoideus,NA
Melocactus deinacanthus,NA
Melocactus azureus,NA
Melocactus ferreophilus,NA
Melocactus lanssensianus,2000
Melocactus glaucescens,NA
Arthrocereus glaziovii,NA
Discocactus pseudoinsignis,NA
Uebelmannia buiningii,NA
Uebelmannia gummifera,NA
Uebelmannia pectinifera,NA
Ariocarpus agavoides,NA
Ariocarpus bravoanus,NA
Ariocarpus scaphirostris,25000
Echinocactus grusonii,11000
Obregonia denegrii,5000
Thelocactus hastifer,NA
Turbinicarpus alonsoi,4999
Turbinicarpus gielsdorfianus,4000
Turbinicarpus hoferi,500-999
Turbinicarpus horripilus,1000
Turbinicarpus laui,4000
Turbinicarpus mandragora,4000
Turbinicarpus pseudomacrochele,2500
Turbinicarpus swobodae,2000
Opuntia pachyrrhiza,9999
Opuntia megarrhiza,2499
Opuntia chaffeyi,15
Mammillaria albicoma,NA
Cupressus chengiana,NA
Cupressus goveniana,2300
Cupressus guadalupensis,NA
Juniperus gracilior,999
Juniperus saltillensis,NA
Juniperus tibetica,NA
Cupressus sargentii,NA
Abies fabri,NA
Abies hickelii,NA
Abies recurvata,NA
Cedrus atlantica,NA
Keteleeria evelyniana,NA
Picea asperata,NA
Picea likiangensis,NA
Picea maximowiczii,NA
Pinus radiata,NA
Pinus torreyana,4500
Pinus tropicalis,NA
Pseudotsuga sinensis,NA
Dacrydium medium,NA
Dacrydium pectinatum,NA
Nageia motleyi,NA
Podocarpus archboldii,NA
Podocarpus confertus,NA
Podocarpus henkelii,NA
Podocarpus macrocarpus,NA
Podocarpus polystachyus,NA
Podocarpus ridleyi,NA
Podocarpus sprucei,NA
Prumnopitys montana,NA
Taxus chinensis,NA
Abies hidalgensis,NA
Podocarpus palawanensis,NA
Podocarpus perrieri,NA
Leptocereus quadricostatus,NA
Xanthocyparis vietnamensis,500-1000
Clinus spatulatus,2000
Conus cepasi,NA
Osteopilus vastus,NA
Atelopus laetissimus,NA
Atelopus nahumae,NA
Rhinella arborescandens,NA
Allobates alessandroi,NA
Boana heilprini,NA
Osteopilus pulchrilineatus,NA
Leptopelis karissimbensis,NA
Leptopelis parkeri,NA
Leptopelis vermiculatus,NA
Eleutherodactylus alcoae,NA
Eleutherodactylus armstrongi,NA
Crocodylus acutus,NA
Mecistops cataphractus,1000-20000
Crocodylus palustris,5700-8700
Crocodylus siamensis,500-1000
Crocodylus mindorensis,92-137
Leptodactylus fallax,132
Ctenophryne carpish,NA
Oreobates pereger,NA
Telmatobius brevipes,NA
Telmatobius brevirostris,NA
Telmatobius carrillae,NA
Telmatobius ignavus,NA
Telmatobius latirostris,NA
Telmatobius mayoloi,NA
Telmatobius truebae,NA
Anodonthyla nigrigularis,NA
Anodonthyla rouxae,NA
Probreviceps macrodactylus,NA
Raorchestes travancoricus,NA
Ambystoma flavipiperatum,NA
Cophyla berara,NA
Coleocephalocereus buxbaumianus,NA
Magnolia cubensis,NA
Magnolia pacifica,NA
Alligator sinensis,68-86
Hipposideros sorenseni,NA
Hobbseus valleculus,NA
Hobbseus yalobushensis,NA
Hobbseus orconectoides,NA
Holoaden bradei,NA
Huso dauricus,NA
Huso huso,NA
Hydromantes brunus,NA
Hydromantes shastae,NA
Bokermannohyla izecksohni,NA
Kerivoula flora,NA
Ambystoma californiense,NA
Ambystoma cingulatum,NA
Laticauda crockeri,NA
Latimeria chalumnae,NA
Ammotragus lervia,5000-10000
Lepidochelys olivacea,NA
Liosaccus pachygaster,NA
Litoria aurea,NA
Litoria brevipalmata,NA
Litoria castanea,NA
Litoria nannotis,NA
Litoria nyakalensis,NA
Litoria piperata,NA
Litoria rheocola,NA
Litoria spenceri,NA
Litoria lorica,NA
Louisea edeaensis,NA
Andrias davidianus,NA
Marmota menzbieri,NA
Megaerops kusnotoi,NA
Megaerops wetmorei,NA
Melanobatrachus indicus,NA
Meriones dahli,NA
Meriones sacramenti,NA
Mertensiella caucasica,NA
Mesocricetus auratus,NA
Stoliczia goal,NA
Stoliczia bella,NA
Heterothelphusa fatum,NA
Potamocarcinus roatensis,NA
Geothelphusa wangi,NA
Parathelphusa reticulata,NA
Johora thoi,NA
Somanniathelphusa zanklon,NA
Austrothelphusa tigrina,NA
Sayamia maehongsonensis,NA
Ibanum pilimanus,NA
Stelomon erawanense,NA
Geothelphusa lanyu,NA
Hypolobocera gracilignatha,NA
Moritschus ecuadorensis,NA
Arachnothelphusa melanippe,NA
Irmengardia nemestrinus,NA
Geothelphusa taroko,NA
Phrygiopilus acanthophallus,NA
Potamon bileki,NA
Austrothelphusa valentula,NA
Johora gapensis,NA
Parathelphusa cabayugan,NA
Potamocarcinus hartmanni,NA
Hypolobocera barbacensis,NA
Phricotelphusa limula,NA
Isolapotamon bauense,NA
Trichodactylus crassus,NA
Epilobocera wetherbeei,NA
Phricotelphusa callianira,NA
Geothelphusa pingtung,NA
Terrathelphusa kuchingensis,NA
Migmathelphusa olivacea,NA
Lindacatalina sumacensis,NA
Raddaus mertensi,NA
Tehuana lamothei,NA
Coccusa cristicervix,NA
Geothelphusa takuan,NA
Hypolobocera rotundilobata,NA
Fredius granulatus,NA
Cryptopotamon anacoluthon,NA
Indochinamon villosum,NA
Stoliczia pahangensis,NA
Indochinamon guttum,NA
Parathelphusa balabac,NA
Salangathelphusa anophrys,NA
Hypolobocera exuca,NA
Parathelphusa crocea,NA
Stoliczia perlensis,NA
Iomon nan,NA
Microthelphusa forcarti,NA
Parathelphusa nagasakti,NA
Parathelphusa maindroni,NA
Potamonautes xiphoidus,NA
Stelomon kanchanaburiense,NA
Strengeriana antioquensis,NA
Chaceus ibiricensis,NA
Parapotamon spinescens,NA
Adeleana forcarti,NA
Lepidothelphusa cognetti,NA
Stoliczia leoi,NA
Allacanthos pittieri,NA
Parathelphusa ovum,NA
Mekhongthelphusa tetragona,NA
Siamthelphusa holthuisi,NA
Johora punicea,NA
Parathelphusa possoensis,NA
Tiwaripotamon edostilus,NA
Geothelphusa lutao,NA
Rodriguezus trujillensis,NA
Tehuana poglayenorum,NA
Doimon doichiangdao,NA
Hypolobocera rathbuni,NA
Oziothelphusa wagrakarowensis,NA
Phricotelphusa gracilipes,NA
Sayamia melanodactylus,NA
Hypolobocera alata,NA
Typhlopseudothelphusa mocinoi,NA
Irmengardia didacta,NA
Ptychophallus tristani,NA
Doimon doisutep,NA
Bottiella cucutensis,NA
Sinopotamon hanyangense,NA
Phricotelphusa elegans,NA
Liotelphusa quadrata,NA
Sinopotamon ebianense,NA
Stoliczia cognata,NA
Parathelphusa batamensis,NA
Stoliczia changmanae,NA
Geothelphusa nanao,NA
Thaksinthelphusa yongchindaratae,NA
Louisea balssi,NA
Nemoron nomas,NA
Stoliczia chaseni,NA
Stygothelphusa bidiensis,NA
Hainanpotamon orientale,NA
Stoliczia tweedei,NA
Geothelphusa wutai,NA
Pupamon phrae,NA
Malayopotamon granulatum,NA
Geothelphusa yangminshan,NA
Phricotelphusa ranongi,NA
Neopseudothelphusa fossor,NA
Hypolobocera andagoensis,NA
Tehuana veracruzana,NA
Indochinamon cua,NA
Phricotelphusa hockpingi,NA
Stoliczia karenae,NA
Hypolobocera cajambrensis,NA
Avotrichodactylus oaxensis,NA
Geothelphusa levicervix,NA
Moritschus altaquerensis,NA
Johora johorensis,NA
Johora counsilmani,NA
Irmengardia johnsoni,NA
Stoliczia kedahensis,NA
Sundathelphusa minahassae,NA
Stoliczia panhai,NA
Geithusa pulchra,NA
Nanhaipotamon formosanum,NA
Hypolobocera velezi,NA
Mainitia mainitensis,NA
Somanniathelphusa taiwanensis,NA
Bottiella medemi,NA
Epilobocera haytensis,NA
Indochinamon bhumibol,NA
Mekhongthelphusa kengsaphu,NA
Sundathelphusa rubra,NA
Iomon luangprabangense,NA
Indochinamon mieni,NA
Geothelphusa miyakoensis,NA
Oziothelphusa biloba,NA
Elsalvadoria zurstrasseni,NA
Sundathelphusa sottoae,NA
Latimeria menadoensis,NA
Alosa sp. nov. 'Skadar',NA
Alosa volgensis,NA
Alosa killarnensis,NA
Eleutherodactylus michaelschmidi,NA
Speleomantes sarrabusensis,NA
Peltophryne florentinoi,NA
Eupsophus queulensis,NA
Ololygon peixotoi,NA
Allobates subfolionidificans,NA
Bokermannohyla vulcaniae,NA
Zhangixalus minimus,NA
Mixophyes balbus,NA
Mixophyes fleayi,NA
Mixophyes iteratus,NA
Nymphargus laurae,NA
Litoria myola,NA
Rana holtzi,NA
Cycloramphus faustoi,NA
Atelopus petersi,NA
Philautus neelanethrus,NA
Rana draytonii,NA
Rana sierrae,NA
Fejervarya nicobariensis,NA
Ambystoma bishopi,NA
Calotriton arnoldi,NA
Ololygon faivovichi,NA
Echiothrix centrosa,NA
Myotis hajastanicus,NA
Crocidura hikmiya,NA
Myomimus roachi,NA
Myosorex blarina,NA
Mystacina tuberculata,NA
Nesokia bunnii,NA
Neurergus strauchii,NA
Nycteris javanica,NA
Litoria dayi,NA
Euastacus dalagarbe,NA
Engaeus yabbimunna,NA
Euastacus gumar,NA
Cherax pallidus,NA
Ombrastacoides parvicaudatus,NA
Euastacus gamilaroi,NA
Euastacus brachythorax,NA
Ombrastacoides pulcher,NA
Euastacus sulcatus,NA
Euastacus yarraensis,NA
