scientificName,PopulationSize.range
Sinodina acutipoda,NA
Caridina yilong,NA
Paracaridina longispina,NA
Typhlatya miravetensis,NA
Typhlatya consobrina,NA
Troglocaris bosnica,NA
Caridina acutirostris,NA
Paratya norfolkensis,NA
Caridina trifasciata,NA
Macrobrachium gurudeve,NA
Troglocaris neglecta,NA
Typhlatya taina,NA
Caridina longidigita,NA
Typhlocaris salentina,NA
Caridina gordonae,NA
Macrobrachium hirtimanus,NA
Macrobrachium minutum,NA
Typhlocaris galilea,NA
Typhlatya garciadebrasi,NA
Euryrhynchina edingtonae,NA
Caridina spelunca,NA
Caridina ensifera,NA
Caridina caerulea,NA
Troglocubanus gibarensis,NA
Lancaris kumariae,NA
Palaemonetes mesopotamicus,NA
Macrobrachium purpureamanus,NA
Caridina bunyonyiensis,NA
Atya intermedia,NA
Troglocaris prasence,NA
Stygiocaris stylifera,NA
Stygiocaris lancifera,NA
Macrobrachium scorteccii,NA
Macrobrachium tuxtlaense,NA
Caridina breviata,NA
Desmocaris bislineata,NA
Typhlatya elenae,NA
Troglocaris kapelana,NA
Macrobrachium poeti,NA
Dugastella marocana,NA
Caridina sodenensis,NA
Troglocubanus inermis,NA
Sinodina gregoriana,NA
Macrobrachium acanthochirus,NA
Caridina apodosis,NA
Cryphiops luscus,NA
Troglocubanus calcis,NA
Caridina subventralis,NA
Caridina sarasinorum,NA
Caridina maculata,NA
Caridina thermophila,NA
Calathaemon holthuisi,NA
Syncaris pacifica,NA
Typhlatya iliffei,NA
Atyaephyra strymonensis,NA
Leptopalaemon gibbosus,NA
Leptopalaemon gudjangah,NA
Leptopalaemon magelensis,NA
Archaetya chacei,NA
Atya brachyrhinus,NA
Atya ortmannioides,NA
Cryphiops brasiliensis,NA
Macrobrachium denticulatum,NA
Palaemonetes lindsayi,NA
Palaemonetes mexicanus,NA
Palaemonetes suttkusi,NA
Caridina dennerli,NA
Caridina spongicola,NA
Caridina glaubrechti,NA
Caridina holthuisi,NA
Caridina lanceolata,NA
Caridina lingkonae,NA
Caridina loehae,NA
Caridina masapi,NA
Caridina parvula,NA
Caridina profundicola,NA
Caridina spinata,NA
Caridina striata,NA
Caridina tenuirostris,NA
Caridina woltereckae,NA
Caridina samar,NA
Caridina boholensis,NA
Caridina guangxiensis,NA
Caridina feixiana,NA
Caridina anislaq,NA
Caridina dianchiensis,NA
Caridina ablepsia,NA
Caridina mindanao,NA
Caridina leclerci,NA
Macrobrachium naso,NA
Typhlocaridina semityphlata,NA
Caridina camaro,NA
Caridina semiblepsia,NA
Edoneus sketi,NA
Parisia deharvengi,NA
Macrobrachium oxyphilus,NA
Caridina gortio,NA
Typhlocaridina lanceifrons,NA
Neocaridina brevidactyla,NA
Marosina brevirostris,NA
Macrobrachium lingyunense,NA
Potamalpheops amnicus,NA
Edoneus marulas,NA
Caridina annandalei,NA
Typhlocaridina liui,NA
