assessmentId,internalTaxonId,scientificName,code,name,international,national,other,subsistence
93152170,22687436,Amazilia sapphirina,13,"Pets/display animals, horticulture",true,NA,NA,NA
93152418,22687439,Amazilia cyanus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93152671,22687449,Amazilia chrysura,13,"Pets/display animals, horticulture",true,NA,NA,NA
93153469,22687469,Trochilus polytmus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93153812,22687479,Leucochloris albicollis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93154067,22687482,Polytmus guainumbi,13,"Pets/display animals, horticulture",true,NA,NA,NA
93154296,22687485,Polytmus milleri,13,"Pets/display animals, horticulture",true,NA,NA,NA
93154490,22687488,Polytmus theresiae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93154906,22687494,Leucippus baeri,13,"Pets/display animals, horticulture",true,NA,NA,NA
93155083,22687497,Leucippus taczanowskii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93155263,22687500,Leucippus chlorocercus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93155454,22687503,Taphrospilus hypostictus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93155823,22687509,Amazilia chionogaster,13,"Pets/display animals, horticulture",true,NA,NA,NA
93156040,22687513,Amazilia candida,13,"Pets/display animals, horticulture",true,NA,NA,NA
93156250,22687517,Amazilia brevirostris,13,"Pets/display animals, horticulture",true,NA,NA,NA
93156482,22687525,Amazilia versicolor,13,"Pets/display animals, horticulture",true,NA,NA,NA
93157005,22687534,Amazilia fimbriata,13,"Pets/display animals, horticulture",true,NA,NA,NA
93157260,22687552,Amazilia amabilis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93157467,22687556,Amazilia decora,13,"Pets/display animals, horticulture",true,NA,NA,NA
93157654,22687559,Amazilia rosenbergi,13,"Pets/display animals, horticulture",true,NA,NA,NA
93158133,22687566,Amazilia franciae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93158319,22687574,Amazilia leucogaster,13,"Pets/display animals, horticulture",true,NA,NA,NA
93158540,22687577,Amazilia cyanocephala,13,"Pets/display animals, horticulture",true,NA,NA,NA
93158942,22687583,Amazilia beryllina,13,"Pets/display animals, horticulture",true,NA,NA,NA
93159162,22687587,Amazilia cyanura,13,"Pets/display animals, horticulture",true,NA,NA,NA
93159381,22687590,Amazilia saucerottei,13,"Pets/display animals, horticulture",true,NA,NA,NA
93159610,22687593,Amazilia tobaci,13,"Pets/display animals, horticulture",true,NA,NA,NA
93159828,22687599,Amazilia edward,13,"Pets/display animals, horticulture",true,NA,NA,NA
93160040,22687603,Amazilia rutila,13,"Pets/display animals, horticulture",true,NA,NA,NA
93160275,22687606,Amazilia yucatanensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93160822,22687618,Amazilia amazilia,13,"Pets/display animals, horticulture",true,NA,NA,NA
93161029,22687624,Amazilia violiceps,13,"Pets/display animals, horticulture",true,NA,NA,NA
93161546,22687632,Eupherusa eximia,13,"Pets/display animals, horticulture",true,NA,NA,NA
93162206,22687643,Elvira chionura,13,"Pets/display animals, horticulture",true,NA,NA,NA
93162727,22687652,Chalybura buffonii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93162933,22687655,Chalybura urochrysia,13,"Pets/display animals, horticulture",true,NA,NA,NA
93163295,22687664,Lampornis clemenciae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93163659,22687672,Lampornis viridipallens,13,"Pets/display animals, horticulture",true,NA,NA,NA
93164001,22687680,Lampornis hemileucus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93164178,22687693,Lamprolaima rhami,13,"Pets/display animals, horticulture",true,NA,NA,NA
93164370,22687696,Adelomyia melanogenys,13,"Pets/display animals, horticulture",true,NA,NA,NA
93165369,22687712,Clytolaema rubricauda,13,"Pets/display animals, horticulture",true,NA,NA,NA
93165555,22687715,Heliodoxa imperatrix,13,"Pets/display animals, horticulture",true,NA,NA,NA
93165729,22687718,Heliodoxa xanthogonys,13,"Pets/display animals, horticulture",true,NA,NA,NA
93166189,22687725,Heliodoxa branickii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93166380,22687731,Heliodoxa aurescens,13,"Pets/display animals, horticulture",true,NA,NA,NA
93166589,22687737,Heliodoxa rubinoides,13,"Pets/display animals, horticulture",true,NA,NA,NA
93166787,22687740,Heliodoxa jacula,13,"Pets/display animals, horticulture",true,NA,NA,NA
93167178,22687746,Eugenes fulgens,13,"Pets/display animals, horticulture",true,NA,NA,NA
93167642,22687753,Sternoclyta cyanopectus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93168003,22687759,Topaza pella,13,"Pets/display animals, horticulture",true,NA,NA,NA
93168358,22687768,Oreotrochilus leucopleurus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93168534,22687771,Oreotrochilus melanogaster,13,"Pets/display animals, horticulture",true,NA,NA,NA
93168933,22687785,Patagona gigas,13,"Pets/display animals, horticulture",true,NA,NA,NA
93169174,22687788,Aglaeactis cupripennis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93169972,22687801,Lafresnaya lafresnayi,13,"Pets/display animals, horticulture",true,NA,NA,NA
