scientificName,redlistCategory,actions,other_threats,smallpop
Pyrrhura calliptera,Vulnerable,NA,NA,NA
Bolborhynchus ferrugineifrons,Vulnerable,NA,NA,yes
Forpus xanthops,Vulnerable,NA,yes,NA
Brotogeris pyrrhoptera,Endangered,yes,NA,NA
Touit melanonotus,Vulnerable,NA,NA,yes
Touit surdus,Vulnerable,NA,NA,yes
Touit stictopterus,Vulnerable,NA,NA,yes
Pyrilia vulturina,Vulnerable,NA,NA,NA
Hapalopsittaca amazonina,Vulnerable,NA,NA,yes
Hapalopsittaca pyrrhops,Vulnerable,NA,NA,yes
Amazona collaria,Vulnerable,yes,NA,NA
Amazona ventralis,Vulnerable,yes,NA,NA
Amazona agilis,Vulnerable,yes,yes,NA
Amazona tucumana,Vulnerable,NA,NA,NA
Amazona pretrei,Vulnerable,NA,NA,NA
Amazona versicolor,Vulnerable,yes,NA,NA
Amazona arausiaca,Vulnerable,NA,NA,NA
Amazona guildingii,Vulnerable,yes,yes,NA
Aerodramus elaphrus,Vulnerable,NA,NA,NA
Aerodramus sawtelli,Vulnerable,NA,yes,NA
Glaucis dohrnii,Endangered,NA,NA,yes
Campylopterus phainopeplus,Endangered,NA,NA,NA
Lophornis gouldii,Vulnerable,NA,NA,NA
Amazilia luciae,Endangered,NA,NA,yes
Amazilia boucardi,Endangered,NA,NA,NA
Eupherusa poliocerca,Vulnerable,NA,NA,NA
Phlogophilus hemileucurus,Vulnerable,NA,NA,NA
Heliodoxa gularis,Vulnerable,NA,NA,NA
Hylonympha macrocerca,Endangered,NA,NA,NA
Aglaeactis aliciae,Endangered,NA,NA,NA
Coeligena prunellei,Vulnerable,NA,NA,yes
Heliangelus regalis,Endangered,NA,NA,NA
Eriocnemis nigrivestis,Critically Endangered,NA,NA,NA
Eriocnemis godini,Critically Endangered,NA,NA,yes
Ramphomicron dorsale,Endangered,NA,NA,NA
Metallura baroni,Endangered,NA,NA,NA
Metallura iracunda,Endangered,NA,NA,NA
Taphrolesbia griseiventris,Endangered,NA,NA,yes
Loddigesia mirabilis,Endangered,NA,NA,NA
Chaetocercus bombus,Vulnerable,NA,NA,yes
Chaetocercus berlepschi,Endangered,NA,NA,NA
Selasphorus ardens,Endangered,NA,NA,yes
Tauraco bannermani,Endangered,yes,NA,NA
Tauraco ruspolii,Vulnerable,NA,yes,NA
Tyto inexspectata,Vulnerable,NA,NA,yes
Tyto soumagnei,Vulnerable,NA,NA,NA
Phodilus prigoginei,Endangered,NA,NA,NA
Otus ireneae,Endangered,NA,NA,NA
Otus angelinae,Vulnerable,NA,NA,yes
Otus insularis,Endangered,NA,yes,yes
Otus pembaensis,Vulnerable,NA,NA,NA
Megascops barbarus,Vulnerable,NA,NA,NA
Bubo philippensis,Vulnerable,yes,NA,yes
Bubo blakistoni,Endangered,yes,yes,yes
Scotopelia ussheri,Vulnerable,NA,NA,yes
Glaucidium albertinum,Vulnerable,NA,NA,yes
Ninox natalis,Vulnerable,NA,yes,NA
Nesasio solomonensis,Vulnerable,NA,NA,yes
