thr_lev2,thr_lev2name,stressName,target
1.1,Housing & urban areas,Species disturbance,Target 3
1.1,Housing & urban areas,Species mortality,Target 1 & 2
1.1,Housing & urban areas,Species mortality,Target 3
5.1,Hunting & collecting terrestrial animals,Ecosystem stresses,Target 1 & 2
5.1,Hunting & collecting terrestrial animals,Ecosystem stresses,Target 4
5.1,Hunting & collecting terrestrial animals,Indirect species effects,Target 1 & 2
5.1,Hunting & collecting terrestrial animals,Indirect species effects,Target 4
5.1,Hunting & collecting terrestrial animals,Species disturbance,Target 1 & 2
5.1,Hunting & collecting terrestrial animals,Species disturbance,Target 4
5.1,Hunting & collecting terrestrial animals,Species mortality,Target 1 & 2
5.1,Hunting & collecting terrestrial animals,Species mortality,Target 4
9.2,Industrial & military effluents,Ecosystem stresses,Target 1 & 2
9.2,Industrial & military effluents,Ecosystem stresses,Target 6
9.2,Industrial & military effluents,Indirect species effects,Target 1 & 2
9.2,Industrial & military effluents,Indirect species effects,Target 6
9.2,Industrial & military effluents,Species disturbance,Target 1 & 2
9.2,Industrial & military effluents,Species disturbance,Target 6
9.2,Industrial & military effluents,Species mortality,Target 1 & 2
9.2,Industrial & military effluents,Species mortality,Target 6
8.3,Introduced genetic material,Indirect species effects,Target 3
8.3,Introduced genetic material,Species disturbance,Target 3
8.1,Invasive non-native/alien species/diseases,Ecosystem stresses,Target 1 & 2
8.1,Invasive non-native/alien species/diseases,Ecosystem stresses,Target 3
8.1,Invasive non-native/alien species/diseases,Ecosystem stresses,Target 5
8.1,Invasive non-native/alien species/diseases,Indirect species effects,Target 1 & 2
8.1,Invasive non-native/alien species/diseases,Indirect species effects,Target 3
8.1,Invasive non-native/alien species/diseases,Indirect species effects,Target 5
8.1,Invasive non-native/alien species/diseases,Species disturbance,Target 1 & 2
8.1,Invasive non-native/alien species/diseases,Species disturbance,Target 3
8.1,Invasive non-native/alien species/diseases,Species disturbance,Target 5
8.1,Invasive non-native/alien species/diseases,Species mortality,Target 1 & 2
8.1,Invasive non-native/alien species/diseases,Species mortality,Target 3
8.1,Invasive non-native/alien species/diseases,Species mortality,Target 5
2.3,Livestock farming & ranching,Ecosystem stresses,Target 1 & 2
2.3,Livestock farming & ranching,Indirect species effects,Target 1 & 2
2.3,Livestock farming & ranching,Indirect species effects,Target 3
2.3,Livestock farming & ranching,Species disturbance,Target 1 & 2
2.3,Livestock farming & ranching,Species disturbance,Target 3
2.3,Livestock farming & ranching,Species mortality,Target 1 & 2
2.3,Livestock farming & ranching,Species mortality,Target 3
5.3,Logging & wood harvesting,Ecosystem stresses,Target 1 & 2
5.3,Logging & wood harvesting,Ecosystem stresses,Target 4
5.3,Logging & wood harvesting,Indirect species effects,Target 1 & 2
5.3,Logging & wood harvesting,Indirect species effects,Target 4
5.3,Logging & wood harvesting,Species disturbance,Target 1 & 2
5.3,Logging & wood harvesting,Species disturbance,Target 4
5.3,Logging & wood harvesting,Species mortality,Target 1 & 2
5.3,Logging & wood harvesting,Species mortality,Target 4
2.4,Marine & freshwater aquaculture,Ecosystem stresses,Target 1 & 2
2.4,Marine & freshwater aquaculture,Indirect species effects,Target 1 & 2
2.4,Marine & freshwater aquaculture,Indirect species effects,Target 3
2.4,Marine & freshwater aquaculture,Species disturbance,Target 1 & 2
2.4,Marine & freshwater aquaculture,Species disturbance,Target 3
2.4,Marine & freshwater aquaculture,Species mortality,Target 1 & 2
2.4,Marine & freshwater aquaculture,Species mortality,Target 3
3.2,Mining & quarrying,Ecosystem stresses,Target 1 & 2
3.2,Mining & quarrying,Indirect species effects,Target 1 & 2
3.2,Mining & quarrying,Indirect species effects,Target 3
3.2,Mining & quarrying,Species disturbance,Target 1 & 2
3.2,Mining & quarrying,Species disturbance,Target 3
3.2,Mining & quarrying,Species mortality,Target 1 & 2
3.2,Mining & quarrying,Species mortality,Target 3
3.1,Oil & gas drilling,Ecosystem stresses,Target 1 & 2
3.1,Oil & gas drilling,Indirect species effects,Target 1 & 2
3.1,Oil & gas drilling,Indirect species effects,Target 3
3.1,Oil & gas drilling,Species disturbance,Target 1 & 2
3.1,Oil & gas drilling,Species disturbance,Target 3
3.1,Oil & gas drilling,Species mortality,Target 1 & 2
3.1,Oil & gas drilling,Species mortality,Target 3
7.3,Other ecosystem modifications,Ecosystem stresses,Target 1 & 2
7.3,Other ecosystem modifications,Indirect species effects,Target 1 & 2
7.3,Other ecosystem modifications,Indirect species effects,Target 3
7.3,Other ecosystem modifications,Species disturbance,Target 1 & 2
7.3,Other ecosystem modifications,Species disturbance,Target 3
7.3,Other ecosystem modifications,Species mortality,Target 1 & 2
7.3,Other ecosystem modifications,Species mortality,Target 3
11.5,Other impacts,Ecosystem stresses,Target 7
11.5,Other impacts,Indirect species effects,Target 7
11.5,Other impacts,Species disturbance,Target 7
11.5,Other impacts,Species mortality,Target 7
12.1,Other threat,Ecosystem stresses,Target 1 & 2
12.1,Other threat,Indirect species effects,Target 3
12.1,Other threat,Species disturbance,Target 3
12.1,Other threat,Species mortality,Target 3
8.2,Problematic native species/diseases,Indirect species effects,Target 3
8.2,Problematic native species/diseases,Species disturbance,Target 3
