thr_lev2,thr_lev2name,stressName,target
9.1,Domestic & urban waste water,Ecosystem stresses,Target 4
9.1,Domestic & urban waste water,Indirect species effects,Target 4
9.1,Domestic & urban waste water,Species disturbance,Target 4
9.1,Domestic & urban waste water,Species mortality,Target 4
9.2,Industrial & military effluents,Ecosystem stresses,Target 4
9.2,Industrial & military effluents,Indirect species effects,Target 4
9.2,Industrial & military effluents,Species disturbance,Target 4
9.2,Industrial & military effluents,Species mortality,Target 4
9.3,Agricultural & forestry effluents,Ecosystem stresses,Target 4
9.3,Agricultural & forestry effluents,Indirect species effects,Target 4
9.3,Agricultural & forestry effluents,Species disturbance,Target 4
9.3,Agricultural & forestry effluents,Species mortality,Target 4
9.4,Garbage & solid waste,Ecosystem stresses,Target 4
9.4,Garbage & solid waste,Indirect species effects,Target 4
9.4,Garbage & solid waste,Species disturbance,Target 4
9.4,Garbage & solid waste,Species mortality,Target 4
9.5,Air-borne pollutants,Ecosystem stresses,Target 4
9.5,Air-borne pollutants,Indirect species effects,Target 4
9.5,Air-borne pollutants,Species mortality,Target 4
9.6,Excess energy,Ecosystem stresses,Target 4
9.6,Excess energy,Indirect species effects,Target 4
9.6,Excess energy,Species disturbance,Target 4
9.6,Excess energy,Species mortality,Target 4
5.1,Hunting & collecting terrestrial animals,Ecosystem stresses,Target 5
5.1,Hunting & collecting terrestrial animals,Indirect species effects,Target 5
5.1,Hunting & collecting terrestrial animals,Species disturbance,Target 5
5.1,Hunting & collecting terrestrial animals,Species mortality,Target 5
5.2,Gathering terrestrial plants,Ecosystem stresses,Target 5
5.2,Gathering terrestrial plants,Indirect species effects,Target 5
5.2,Gathering terrestrial plants,Species disturbance,Target 5
5.2,Gathering terrestrial plants,Species mortality,Target 5
5.3,Logging & wood harvesting,Ecosystem stresses,Target 5
5.3,Logging & wood harvesting,Indirect species effects,Target 5
5.3,Logging & wood harvesting,Species disturbance,Target 5
5.3,Logging & wood harvesting,Species mortality,Target 5
5.4,Fishing & harvesting aquatic resources,Ecosystem stresses,Target 5
5.4,Fishing & harvesting aquatic resources,Indirect species effects,Target 5
5.4,Fishing & harvesting aquatic resources,Species disturbance,Target 5
5.4,Fishing & harvesting aquatic resources,Species mortality,Target 5
11.1,Habitat shifting & alteration,Ecosystem stresses,Target 6
11.1,Habitat shifting & alteration,Indirect species effects,Target 6
11.1,Habitat shifting & alteration,Species disturbance,Target 6
11.1,Habitat shifting & alteration,Species mortality,Target 6
11.2,Droughts,Ecosystem stresses,Target 6
11.2,Droughts,Indirect species effects,Target 6
11.2,Droughts,Species disturbance,Target 6
11.2,Droughts,Species mortality,Target 6
11.3,Temperature extremes,Ecosystem stresses,Target 6
11.3,Temperature extremes,Indirect species effects,Target 6
11.3,Temperature extremes,Species disturbance,Target 6
11.3,Temperature extremes,Species mortality,Target 6
11.4,Storms & flooding,Ecosystem stresses,Target 6
11.4,Storms & flooding,Indirect species effects,Target 6
11.4,Storms & flooding,Species disturbance,Target 6
11.4,Storms & flooding,Species mortality,Target 6
11.5,Other impacts,Ecosystem stresses,Target 6
11.5,Other impacts,Indirect species effects,Target 6
11.5,Other impacts,Species disturbance,Target 6
11.5,Other impacts,Species mortality,Target 6
