Threat code,Threat name,Stress name,Number of spp affected,Final
9.1,Domestic & urban waste water,Ecosystem stresses,864,"Target 1 & 2, Target 6"
9.1,Domestic & urban waste water,Indirect species effects,11,"Target 1 & 2, Target 6"
9.1,Domestic & urban waste water,Species disturbance,18,"Target 1 & 2, Target 6"
9.1,Domestic & urban waste water,Species mortality,34,"Target 1 & 2, Target 6"
9.2,Industrial & military effluents,Ecosystem stresses,788,"Target 1 & 2, Target 6"
9.2,Industrial & military effluents,Indirect species effects,49,"Target 1 & 2, Target 6"
9.2,Industrial & military effluents,Species disturbance,15,"Target 1 & 2, Target 6"
9.2,Industrial & military effluents,Species mortality,106,"Target 1 & 2, Target 6"
9.3,Agricultural & forestry effluents,Ecosystem stresses,1434,"Target 1 & 2, Target 6"
9.3,Agricultural & forestry effluents,Indirect species effects,56,"Target 1 & 2, Target 6"
9.3,Agricultural & forestry effluents,Species disturbance,39,"Target 1 & 2, Target 6"
9.3,Agricultural & forestry effluents,Species mortality,170,"Target 1 & 2, Target 6"
9.4,Garbage & solid waste,Ecosystem stresses,54,"Target 1 & 2, Target 6"
9.4,Garbage & solid waste,Indirect species effects,9,"Target 1 & 2, Target 6"
9.4,Garbage & solid waste,Species disturbance,2,"Target 1 & 2, Target 6"
9.4,Garbage & solid waste,Species mortality,33,"Target 1 & 2, Target 6"
9.5,Air-borne pollutants,Ecosystem stresses,446,"Target 1 & 2, Target 6"
9.5,Air-borne pollutants,Indirect species effects,2,"Target 1 & 2, Target 6"
9.5,Air-borne pollutants,Species mortality,3,"Target 1 & 2, Target 6"
9.6,Excess energy,Ecosystem stresses,16,"Target 1 & 2, Target 6"
9.6,Excess energy,Indirect species effects,11,"Target 1 & 2, Target 6"
9.6,Excess energy,Species disturbance,27,"Target 1 & 2, Target 6"
9.6,Excess energy,Species mortality,32,"Target 1 & 2, Target 6"
