thr_lev2,thr_lev2name,stressName,nospp,stu,rike
6.1,Recreational activities,Species disturbance,915,Target 1 & 2,Target 3
6.1,Recreational activities,Species mortality,32,Target 1 & 2,Target 3
6.2,"War, civil unrest & military exercises",Ecosystem stresses,29,Target 1 & 2,Target 1 & 2
6.2,"War, civil unrest & military exercises",Indirect species effects,3,Target 1 & 2,Target 3
6.2,"War, civil unrest & military exercises",Species disturbance,70,Target 1 & 2,Target 3
6.2,"War, civil unrest & military exercises",Species mortality,21,Target 1 & 2,Target 3
6.3,Work & other activities,Ecosystem stresses,53,Target 1 & 2,Target 1 & 2
6.3,Work & other activities,Indirect species effects,41,Target 1 & 2,Target 3
6.3,Work & other activities,Species disturbance,215,Target 1 & 2,Target 3
6.3,Work & other activities,Species mortality,22,Target 1 & 2,Target 3
7.1,Fire & fire suppression,Ecosystem stresses,1340,Target 1 & 2,Target 1 & 2
7.1,Fire & fire suppression,Indirect species effects,48,Target 1 & 2,Target 3
7.1,Fire & fire suppression,Species disturbance,100,Target 1 & 2,Target 3
7.1,Fire & fire suppression,Species mortality,250,Target 1 & 2,Target 3
7.2,Dams & water management/use,Ecosystem stresses,621,Target 1 & 2,Target 1 & 2
7.2,Dams & water management/use,Indirect species effects,30,Target 1 & 2,Target 3
7.2,Dams & water management/use,Species disturbance,56,Target 1 & 2,Target 3
7.2,Dams & water management/use,Species mortality,42,Target 1 & 2,Target 3
7.3,Other ecosystem modifications,Ecosystem stresses,170,Target 1 & 2,Target 1 & 2
7.3,Other ecosystem modifications,Indirect species effects,4,Target 1 & 2,Target 3
7.3,Other ecosystem modifications,Species disturbance,15,Target 1 & 2,Target 3
7.3,Other ecosystem modifications,Species mortality,7,Target 1 & 2,Target 3
8.1,Invasive non-native/alien species/diseases,Ecosystem stresses,623,"c(""Target 1 & 2"", ""Target 3"", ""Target 5"")",Target 5
8.1,Invasive non-native/alien species/diseases,Indirect species effects,1019,"c(""Target 1 & 2"", ""Target 3"", ""Target 5"")",Target 5
8.1,Invasive non-native/alien species/diseases,Species disturbance,549,"c(""Target 1 & 2"", ""Target 3"", ""Target 5"")",Target 5
8.1,Invasive non-native/alien species/diseases,Species mortality,1672,"c(""Target 1 & 2"", ""Target 3"", ""Target 5"")",Target 5
8.2,Problematic native species/diseases,Ecosystem stresses,70,Target 3,Target 1 & 2
8.2,Problematic native species/diseases,Indirect species effects,671,Target 3,Target 3
8.2,Problematic native species/diseases,Species disturbance,434,Target 3,Target 3
8.2,Problematic native species/diseases,Species mortality,607,Target 3,Target 3
8.3,Introduced genetic material,Indirect species effects,10,Target 3,Target 3
8.3,Introduced genetic material,Species disturbance,1,Target 3,Target 3
8.4,Problematic species/diseases of unknown origin,Ecosystem stresses,1,Target 3,Target 1 & 2
8.4,Problematic species/diseases of unknown origin,Indirect species effects,8,Target 3,Target 3
8.4,Problematic species/diseases of unknown origin,Species disturbance,11,Target 3,Target 3
8.4,Problematic species/diseases of unknown origin,Species mortality,56,Target 3,Target 3
8.5,Viral/prion-induced diseases,Ecosystem stresses,2,Target 3,Target 1 & 2
8.5,Viral/prion-induced diseases,Indirect species effects,19,Target 3,Target 3
8.5,Viral/prion-induced diseases,Species disturbance,4,Target 3,Target 3
8.5,Viral/prion-induced diseases,Species mortality,99,Target 3,Target 3
8.6,Diseases of unknown cause,Ecosystem stresses,2,Target 3,Target 1 & 2
8.6,Diseases of unknown cause,Indirect species effects,1,Target 3,Target 3
8.6,Diseases of unknown cause,Species mortality,12,Target 3,Target 3
9.1,Domestic & urban waste water,Ecosystem stresses,864,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.1,Domestic & urban waste water,Indirect species effects,11,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.1,Domestic & urban waste water,Species disturbance,18,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.1,Domestic & urban waste water,Species mortality,34,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.2,Industrial & military effluents,Ecosystem stresses,788,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.2,Industrial & military effluents,Indirect species effects,49,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.2,Industrial & military effluents,Species disturbance,15,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.2,Industrial & military effluents,Species mortality,106,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.3,Agricultural & forestry effluents,Ecosystem stresses,1434,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.3,Agricultural & forestry effluents,Indirect species effects,56,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.3,Agricultural & forestry effluents,Species disturbance,39,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.3,Agricultural & forestry effluents,Species mortality,170,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.4,Garbage & solid waste,Ecosystem stresses,54,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.4,Garbage & solid waste,Indirect species effects,9,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.4,Garbage & solid waste,Species disturbance,2,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.4,Garbage & solid waste,Species mortality,33,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.5,Air-borne pollutants,Ecosystem stresses,446,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.5,Air-borne pollutants,Indirect species effects,2,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.5,Air-borne pollutants,Species mortality,3,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.6,Excess energy,Ecosystem stresses,16,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.6,Excess energy,Indirect species effects,11,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.6,Excess energy,Species disturbance,27,"c(""Target 1 & 2"", ""Target 6"")",Target 6
9.6,Excess energy,Species mortality,32,"c(""Target 1 & 2"", ""Target 6"")",Target 6
11.1,Habitat shifting & alteration,Ecosystem stresses,756,Target 7,Target 7
11.1,Habitat shifting & alteration,Indirect species effects,51,Target 7,Target 7
11.1,Habitat shifting & alteration,Species disturbance,73,Target 7,Target 7
11.1,Habitat shifting & alteration,Species mortality,74,Target 7,Target 7
11.2,Droughts,Ecosystem stresses,349,Target 7,Target 7
11.2,Droughts,Indirect species effects,34,Target 7,Target 7
11.2,Droughts,Species disturbance,18,Target 7,Target 7
11.2,Droughts,Species mortality,74,Target 7,Target 7
11.3,Temperature extremes,Ecosystem stresses,502,Target 7,Target 7
11.3,Temperature extremes,Indirect species effects,435,Target 7,Target 7
11.3,Temperature extremes,Species disturbance,420,Target 7,Target 7
11.3,Temperature extremes,Species mortality,509,Target 7,Target 7
11.4,Storms & flooding,Ecosystem stresses,686,Target 7,Target 7
11.4,Storms & flooding,Indirect species effects,46,Target 7,Target 7
11.4,Storms & flooding,Species disturbance,45,Target 7,Target 7
11.4,Storms & flooding,Species mortality,98,Target 7,Target 7
11.5,Other impacts,Ecosystem stresses,105,Target 7,Target 7
11.5,Other impacts,Indirect species effects,11,Target 7,Target 7
11.5,Other impacts,Species disturbance,10,Target 7,Target 7
11.5,Other impacts,Species mortality,26,Target 7,Target 7
12.1,Other threat,Ecosystem stresses,9,NA,Target 1 & 2
12.1,Other threat,Indirect species effects,15,NA,Target 3
12.1,Other threat,Species disturbance,2,NA,Target 3
12.1,Other threat,Species mortality,10,NA,Target 3
10.1,Volcanoes,Ecosystem stresses,40,NA,NA
10.1,Volcanoes,Indirect species effects,3,NA,NA
10.1,Volcanoes,Species disturbance,8,NA,NA
10.1,Volcanoes,Species mortality,20,NA,NA
10.2,Earthquakes/tsunamis,Ecosystem stresses,7,NA,NA
10.2,Earthquakes/tsunamis,Species mortality,3,NA,NA
10.3,Avalanches/landslides,Ecosystem stresses,55,NA,NA
10.3,Avalanches/landslides,Indirect species effects,1,NA,NA
10.3,Avalanches/landslides,Species disturbance,5,NA,NA
10.3,Avalanches/landslides,Species mortality,13,NA,NA
