thr_lev2,thr_lev2name,stressName,target,person
6.2,"War, civil unrest & military exercises",Indirect species effects,Target 3,rike
6.2,"War, civil unrest & military exercises",Species disturbance,Target 1 & 2,stu
6.2,"War, civil unrest & military exercises",Species disturbance,Target 3,rike
6.2,"War, civil unrest & military exercises",Species mortality,Target 1 & 2,stu
6.2,"War, civil unrest & military exercises",Species mortality,Target 3,rike
6.3,Work & other activities,Indirect species effects,Target 1 & 2,stu
6.3,Work & other activities,Indirect species effects,Target 3,rike
6.3,Work & other activities,Species disturbance,Target 1 & 2,stu
6.3,Work & other activities,Species disturbance,Target 3,rike
6.3,Work & other activities,Species mortality,Target 1 & 2,stu
6.3,Work & other activities,Species mortality,Target 3,rike
7.1,Fire & fire suppression,Indirect species effects,Target 1 & 2,stu
7.1,Fire & fire suppression,Indirect species effects,Target 3,rike
7.1,Fire & fire suppression,Species disturbance,Target 1 & 2,stu
7.1,Fire & fire suppression,Species disturbance,Target 3,rike
7.1,Fire & fire suppression,Species mortality,Target 1 & 2,stu
7.1,Fire & fire suppression,Species mortality,Target 3,rike
7.2,Dams & water management/use,Indirect species effects,Target 1 & 2,stu
7.2,Dams & water management/use,Indirect species effects,Target 3,rike
7.2,Dams & water management/use,Species disturbance,Target 1 & 2,stu
7.2,Dams & water management/use,Species disturbance,Target 3,rike
7.2,Dams & water management/use,Species mortality,Target 1 & 2,stu
7.2,Dams & water management/use,Species mortality,Target 3,rike
7.3,Other ecosystem modifications,Indirect species effects,Target 1 & 2,stu
7.3,Other ecosystem modifications,Indirect species effects,Target 3,rike
7.3,Other ecosystem modifications,Species disturbance,Target 1 & 2,stu
7.3,Other ecosystem modifications,Species disturbance,Target 3,rike
7.3,Other ecosystem modifications,Species mortality,Target 1 & 2,stu
7.3,Other ecosystem modifications,Species mortality,Target 3,rike
8.1,Invasive non-native/alien species/diseases,Ecosystem stresses,Target 1 & 2,stu
8.1,Invasive non-native/alien species/diseases,Ecosystem stresses,Target 3,stu
8.1,Invasive non-native/alien species/diseases,Indirect species effects,Target 1 & 2,stu
8.1,Invasive non-native/alien species/diseases,Indirect species effects,Target 3,stu
8.1,Invasive non-native/alien species/diseases,Species disturbance,Target 1 & 2,stu
8.1,Invasive non-native/alien species/diseases,Species disturbance,Target 3,stu
8.1,Invasive non-native/alien species/diseases,Species mortality,Target 1 & 2,stu
8.1,Invasive non-native/alien species/diseases,Species mortality,Target 3,stu
8.2,Problematic native species/diseases,Ecosystem stresses,Target 1 & 2,rike
8.2,Problematic native species/diseases,Ecosystem stresses,Target 3,stu
8.4,Problematic species/diseases of unknown origin,Ecosystem stresses,Target 1 & 2,rike
8.4,Problematic species/diseases of unknown origin,Ecosystem stresses,Target 3,stu
8.5,Viral/prion-induced diseases,Ecosystem stresses,Target 1 & 2,rike
8.5,Viral/prion-induced diseases,Ecosystem stresses,Target 3,stu
8.6,Diseases of unknown cause,Ecosystem stresses,Target 1 & 2,rike
8.6,Diseases of unknown cause,Indirect species effects,Target 3,rike
8.6,Diseases of unknown cause,Species mortality,Target 3,rike
8.6,Diseases of unknown causeÂ ,Ecosystem stresses,Target 3,stu
8.6,Diseases of unknown causeÂ ,Indirect species effects,Target 3,stu
8.6,Diseases of unknown causeÂ ,Species mortality,Target 3,stu
9.1,Domestic & urban waste water,Ecosystem stresses,Target 1 & 2,stu
9.1,Domestic & urban waste water,Indirect species effects,Target 1 & 2,stu
9.1,Domestic & urban waste water,Species disturbance,Target 1 & 2,stu
9.1,Domestic & urban waste water,Species mortality,Target 1 & 2,stu
9.2,Industrial & military effluents,Ecosystem stresses,Target 1 & 2,stu
9.2,Industrial & military effluents,Indirect species effects,Target 1 & 2,stu
9.2,Industrial & military effluents,Species disturbance,Target 1 & 2,stu
9.2,Industrial & military effluents,Species mortality,Target 1 & 2,stu
9.3,Agricultural & forestry effluents,Ecosystem stresses,Target 1 & 2,stu
9.3,Agricultural & forestry effluents,Indirect species effects,Target 1 & 2,stu
9.3,Agricultural & forestry effluents,Species disturbance,Target 1 & 2,stu
9.3,Agricultural & forestry effluents,Species mortality,Target 1 & 2,stu
9.4,Garbage & solid waste,Ecosystem stresses,Target 6,rike
9.4,Garbage & solid waste,Indirect species effects,Target 6,rike
9.4,Garbage & solid waste,Species disturbance,Target 6,rike
9.4,Garbage & solid waste,Species mortality,Target 6,rike
9.4,GarbageÂ & solid waste,Ecosystem stresses,Target 1 & 2,stu
9.4,GarbageÂ & solid waste,Ecosystem stresses,Target 6,stu
9.4,GarbageÂ & solid waste,Indirect species effects,Target 1 & 2,stu
9.4,GarbageÂ & solid waste,Indirect species effects,Target 6,stu
9.4,GarbageÂ & solid waste,Species disturbance,Target 1 & 2,stu
9.4,GarbageÂ & solid waste,Species disturbance,Target 6,stu
9.4,GarbageÂ & solid waste,Species mortality,Target 1 & 2,stu
9.4,GarbageÂ & solid waste,Species mortality,Target 6,stu
9.5,Air-borne pollutants,Ecosystem stresses,Target 1 & 2,stu
9.5,Air-borne pollutants,Indirect species effects,Target 1 & 2,stu
9.5,Air-borne pollutants,Species mortality,Target 1 & 2,stu
9.6,Excess energy,Ecosystem stresses,Target 1 & 2,stu
9.6,Excess energy,Indirect species effects,Target 1 & 2,stu
9.6,Excess energy,Species disturbance,Target 1 & 2,stu
9.6,Excess energy,Species mortality,Target 1 & 2,stu
12.1,Other threat,Ecosystem stresses,Target 1 & 2,rike
12.1,Other threat,Ecosystem stresses,NA,stu
12.1,Other threat,Indirect species effects,Target 3,rike
12.1,Other threat,Indirect species effects,NA,stu
12.1,Other threat,Species disturbance,Target 3,rike
12.1,Other threat,Species disturbance,NA,stu
12.1,Other threat,Species mortality,Target 3,rike
12.1,Other threat,Species mortality,NA,stu
