scientificName
Otus thilohoffmanni
Buteo socotraensis
Hemiphaga chathamensis
Nisaetus pinskeri
Pomarea mendozae
Clytorhynchus sanctaecrucis
Turnix novaecaledoniae
Polyplectron katsumatae
Passer hemileucus
Rostratula australis
Nesospiza wilkinsi
Icterus northropi
Scytalopus canus
Nisaetus philippensis
Pyrrhura subandina
Pyrrhura caeruleiceps
Pyrrhura eisenmanni
Coeligena consita
Aratinga solstitialis
Prosobonia parvirostris
Grallaricula ochraceifrons
Erythropitta caeruleitorques
Erythropitta palliceps
Erythropitta splendida
Dendrocolaptes punctipectus
Ceblepyris cucullatus
Petroica dannefaerdi
Hypsipetes moheliensis
Mixornis prillwitzi
Rhabdornis rabori
Artisornis sousae
Rimator naungmungensis
Graminicola striatus
Montecincla jerdoni
Larvivora tanensis
Hemignathus affinis
Mirafra sharpii
Zosterops silvanus
Junco insularis
Edolisoma insperatum
Cyornis camarinensis
Rhyticeros narcondami
Tyto nigrobrunnea
Larvivora ruficeps
Nisaetus bartelsi
Ninox reyi
Ninox ios
Eurostopodus diabolicus
Ciconia stormi
Dicrurus menagei
Cochoa beccarii
Columba punicea
Chrysocolaptes xanthocephalus
Asarcornis scutulata
Anas albogularis
Prioniturus luconensis
Sinosuthora zappeyi
Gymnocrex talaudensis
Symposiachrus everetti
Ninox rumseyi
Corvus florensis
Gymnocrex rosenbergii
Saxicola macrorhynchus
Geothlypis flavovelata
Edolisoma nesiotis
Lipaugus uropygialis
Carpodectes antoniae
Clytoctantes alixii
Eleoscytalopus psychopompus
Laniarius brauni
Cinclus schulzii
Copsychus sechellarum
Ferminia cerverai
Locustella pleskei
Acrocephalus sorghophilus
Fringilla polatzeki
Atlapetes flaviceps
Herpsilochmus pileatus
Garrulax konkakinhensis
Laticilla cinerascens
Sylvietta chapini
Accipiter gundlachi
Perdicula manipurensis
Branta sandvicensis
Carpococcyx viridis
Catreus wallichii
Tragopan blythii
Tragopan melanocephalus
Perisoreus internigrans
Rhynchopsitta terrisi
Actenoides excelsus
Rhinoptilus bitorquatus
Phapitreron frontalis
Charmosyna toxopei
Gorsachius magnificus
Gyps tenuirostris
Calliope obscura
Cacatua haematuropygia
